Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C5, C6",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,6,10u,
"C12, C13",0805,2,10p,
"C3, C4, C7, C8, C9",0805,5,1u,
J1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,NF_IN,
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,USB,
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,NF_OUT,
"R1, R2, R3, R5",0805,4,1k5,
R4,0805,1,2.2,
"R6, R7",0805,2,22,
R8,0805,1,1M,
SW1,SW_DIP_SPSTx03_Slide_KingTek_DSHP03TJ_W5.25mm_P1.27mm_JPin,1,HID,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,PCM2902,
Y1,Crystal_SMD_G8-2Pin_3.2x1.5mm_HandSoldering,1,12MHz,
