Designator,Mid X,Mid Y,Rotation,Layer
C1,119.38,-78.74,0.0,top
C10,129.5805,-75.4,0.0,top
C11,129.425,-79.145,0.0,top
C12,130.175,-64.262,180.0,top
C13,130.1535,-68.189,0.0,top
C2,109.22,-82.33,180.0,top
C3,110.003756,-73.55,180.0,top
C4,124.841,-61.341,270.0,top
C5,104.14,-73.66,180.0,top
C6,119.38,-82.33,0.0,top
C7,130.1605,-71.628,0.0,top
C8,135.128,-71.9875,270.0,top
C9,130.175,-60.579,0.0,top
J1,96.51,-80.96,90.0,top
J2,96.52,-68.58,90.0,top
J3,136.16,-81.13,90.0,top
R1,109.728,-58.801,0.0,top
R2,104.267,-58.928,0.0,top
R3,109.674128,-63.5,0.0,top
R4,110.128256,-78.115,0.0,top
R5,109.951192,-68.98,0.0,top
R6,104.14,-63.5,0.0,top
R7,104.14,-68.58,0.0,top
R8,135.128,-67.437,90.0,top
SW1,117.380003,-60.02,0.0,top
U1,119.38,-71.12,0.0,top
Y1,135.128,-62.103,270.0,top
